DateTime,Entries,UniqueIPs
1521700926,76,76
1521702974,78,78
1521703724,79,79
1521706090,80,80
1521710127,79,79
1521711452,78,78
1521712550,79,79
1521715269,80,80
1521717332,81,81
1521719019,82,82
1521720660,84,84
1521724254,85,85
1521726946,86,86
1521730952,90,90
1521732922,79,79
1521735347,80,80
1521736263,80,80
1521737432,81,81
1521738664,80,80
1521740132,81,81
1521742254,79,79
1521745382,80,80
1521749454,83,83
1521752371,84,84
1521755163,85,85
1521763002,82,82
1521764076,83,83
1521767675,84,84
1521768526,86,86
1521770200,85,85
1521771055,86,86
1521772724,84,84
1521773755,85,85
1521778257,86,86
1521779734,85,85
1521781005,85,85
1521781862,86,86
1521783964,86,86
1521789273,84,84
1521791802,83,83
1521794451,85,85
1521795602,86,86
1521798382,87,87
1521800162,86,86
1521805260,88,88
1521806143,89,89
1521808125,90,90
1521808967,89,89
1521816062,88,88
1521816998,89,89
1521819762,84,84
1521821450,85,85
1521822515,86,86
1521829833,87,87
1521836485,87,87
1521837775,85,85
1521839705,84,84
1521843273,85,85
1521844281,84,84
1521848560,83,83
1521850128,82,82
1521852156,81,81
1521853618,82,82
1521856253,83,83
1521856605,84,84
1521857455,85,85
1521858665,85,85
1521859357,86,86
1521864662,86,86
1521866755,85,85
1521870153,86,86
1521872104,87,87
1521873084,83,83
1521874546,85,85
1521877366,87,87
1521878277,88,88
1521880292,91,91
1521880954,92,92
1521882659,95,95
1521884133,96,96
1521885395,95,95
1521888163,96,96
1521889856,95,95
1521891648,96,96
1521892674,96,96
1521894952,97,97
1521896620,96,96
1521899633,95,95
1521900654,96,96
1521906237,82,82
1521907411,80,80
1521908437,82,82
1521908912,83,83
1521911677,83,83
1521914377,83,83
1521915354,85,85
1521918883,84,84
1521920591,82,82
1521923330,81,81
1521924193,82,82
1521926461,81,81
1521932153,82,82
1521934873,78,78
1521936878,76,76
1521937812,75,75
1521940247,75,75
1521941316,76,76
1521943856,80,80
1521945756,79,79
